ij:: 150,  row_id_ori: 2, col_id_ori: 22, row_id_new: 22, col_id_new: 4, permute_kk: 4, permute_index: 2820 

ij:: 151,  row_id_ori: 2, col_id_ori: 23, row_id_new: 22, col_id_new: 68, permute_kk: 4, permute_index: 2884 

ij:: 152,  row_id_ori: 2, col_id_ori: 24, row_id_new: 24, col_id_new: 4, permute_kk: 4, permute_index: 3076 

ij:: 153,  row_id_ori: 2, col_id_ori: 25, row_id_new: 24, col_id_new: 68, permute_kk: 4, permute_index: 3140 

ij:: 154,  row_id_ori: 2, col_id_ori: 26, row_id_new: 26, col_id_new: 4, permute_kk: 4, permute_index: 3332 

ij:: 155,  row_id_ori: 2, col_id_ori: 27, row_id_new: 26, col_id_new: 68, permute_kk: 4, permute_index: 3396 

ij:: 156,  row_id_ori: 2, col_id_ori: 28, row_id_new: 28, col_id_new: 4, permute_kk: 4, permute_index: 3588 

ij:: 157,  row_id_ori: 2, col_id_ori: 29, row_id_new: 28, col_id_new: 68, permute_kk: 4, permute_index: 3652 

ij:: 158,  row_id_ori: 2, col_id_ori: 30, row_id_new: 30, col_id_new: 4, permute_kk: 4, permute_index: 3844 

ij:: 159,  row_id_ori: 2, col_id_ori: 31, row_id_new: 30, col_id_new: 68, permute_kk: 4, permute_index: 3908 

ij:: 160,  row_id_ori: 2, col_id_ori: 32, row_id_new: 32, col_id_new: 4, permute_kk: 4, permute_index: 4100 

ij:: 161,  row_id_ori: 2, col_id_ori: 33, row_id_new: 32, col_id_new: 68, permute_kk: 4, permute_index: 4164 

ij:: 162,  row_id_ori: 2, col_id_ori: 34, row_id_new: 34, col_id_new: 4, permute_kk: 4, permute_index: 4356 

ij:: 163,  row_id_ori: 2, col_id_ori: 35, row_id_new: 34, col_id_new: 68, permute_kk: 4, permute_index: 4420 

ij:: 164,  row_id_ori: 2, col_id_ori: 36, row_id_new: 36, col_id_new: 4, permute_kk: 4, permute_index: 4612 

ij:: 165,  row_id_ori: 2, col_id_ori: 37, row_id_new: 36, col_id_new: 68, permute_kk: 4, permute_index: 4676 

ij:: 166,  row_id_ori: 2, col_id_ori: 38, row_id_new: 38, col_id_new: 4, permute_kk: 4, permute_index: 4868 

ij:: 167,  row_id_ori: 2, col_id_ori: 39, row_id_new: 38, col_id_new: 68, permute_kk: 4, permute_index: 4932 

ij:: 168,  row_id_ori: 2, col_id_ori: 40, row_id_new: 40, col_id_new: 4, permute_kk: 4, permute_index: 5124 

